   3.5000000e-01  -3.0698824e+03   1.4893933e+04
   5.5000000e-01   1.0557781e+03   2.7821968e+03
   7.0000000e-01  -2.8967143e+03  -1.1536619e+03
   6.0000000e-01   5.2570678e+02   1.4642450e+03
   8.0000000e-01  -1.4031816e+03  -2.3134416e+02
   4.0000000e-01  -9.6230374e+02   9.9704326e+03
   2.0000000e-01  -1.8989999e+04   3.7529801e+04
   0.0000000e+00  -1.0029410e+05   5.6283105e+04
   4.5000000e-01   2.4676494e+02   6.5499031e+03
   8.5000000e-01   6.6232299e+02   3.3669803e+02
   9.5000000e-01  -1.4151570e+02  -3.8456820e+01
   7.5000000e-01  -1.4777824e+03  -4.3308200e+02
   1.0000000e-01  -4.5421685e+04   5.2439952e+04
   1.5000000e-01  -2.9775421e+04   4.5572116e+04
   6.5000000e-01  -3.0656504e+03  -1.1877715e+03
   5.0000000e-02  -6.8026757e+04   5.6803339e+04
   9.0000000e-01   4.5381377e+02   1.2538730e+02
   5.0000000e-01   8.6213280e+02   4.2878473e+03
   2.5000000e-01  -1.1547955e+04   2.9204534e+04
   3.0000000e-01  -6.4501474e+03   2.1419785e+04
